<GI> CP000561:1 <COORDINATES> 1-20395 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.807800; n0_4mer:D = 33.955496; n0_4mer:PS = 39.749056
	[9:308:dir] KEGG: pai:PAE0736 hypothetical protein; conserved hypothetical protein
	[1626357:1627643:dir] PFAM: beta-lactamase domain protein; RNA-metabolising metallo-beta-lactamase; KEGG: pai:PAE3309 putative mRNA 3-end processing factor; beta-lactamase domain protein
	[1627791:1628102:dir] KEGG: pai:PAE3304 hypothetical protein; conserved hypothetical protein
	[1628077:1628577:rev] KEGG: pai:PAE3303 hypothetical protein; conserved hypothetical protein
	[1628639:1629067:dir] PFAM: NUDIX hydrolase; KEGG: pai:PAE3301 MutT/NUDIX family protein; NUDIX hydrolase
	[1629085:1630857:dir] TIGRFAM: acetolactate synthase, large subunit, biosynthetic type; PFAM: thiamine pyrophosphate enzyme domain protein TPP-binding; thiamine pyrophosphate enzyme, central region; thiamine pyrophosphate enzyme TPP binding domain protein; KEGG: pai:PAE3300 acetolactate synthase large subunit; acetolactate synthase, large subunit
	[1630844:1631098:dir] KEGG: pai:PAE3299 acetolactate synthase small subunit; hypothetical protein
	[1631129:1632115:dir] KEGG: pai:PAE3298 acetohydroxy acid isomeroreductase; TIGRFAM: ketol-acid reductoisomerase; PFAM: acetohydroxy acid isomeroreductase; NADP oxidoreductase, coenzyme F420-dependent; Acetohydroxy acid isomeroreductase, catalytic domain protein; ketol-acid reductoisomerase
	[1632112:1633023:dir] TIGRFAM: branched-chain amino acid aminotransferase; PFAM: aminotransferase, class IV; KEGG: pai:PAE3297 branched-chain amino acid aminotransferase; branched chain amino acid aminotransferase apoenzyme
	[1633020:1633472:rev] PFAM: 6,7-dimethyl-8-ribityllumazine synthase; KEGG: pai:PAE3296 riboflavin synthase; 6,7-dimethyl-8-ribityllumazine synthase
<END>
<GI> CP000561:8 <COORDINATES> 1708544-1732991 <STAT> n1_4mer:GRV/n1_4mer:RV = 3.227111; n0_4mer:D = 28.605302; n0_4mer:PS = 52.095261
	[1708544:1710466:dir] KEGG: pai:PAE3254 conserved within P.aerophilum; conserved hypothetical protein
	[1710461:1710976:rev] KEGG: pai:PAE3253 conserved within P.aerophilum; conserved hypothetical protein
	[1711014:1711589:dir] KEGG: pai:PAE3252 hypothetical protein; conserved hypothetical protein
	[1711586:1712326:rev] KEGG: pai:PAE3251 hypothetical protein; conserved hypothetical protein
	[1712360:1713778:dir] PFAM: CoA-binding domain protein; KEGG: pai:PAE3250 hypothetical protein; CoA-binding domain protein
	[1713775:1714473:dir] PFAM: ATP-grasp domain protein; KEGG: pai:PAE3249 hypothetical protein; ATP-grasp domain protein
	[1714493:1715026:dir] KEGG: pai:PAE3689 hypothetical protein; conserved hypothetical protein
	[1714995:1716269:rev] KEGG: pai:PAE3688 hypothetical protein; conserved hypothetical protein
	[1716269:1717843:rev] PFAM: ATPase associated with various cellular activities, AAA_5; KEGG: pai:PAE3687 hypothetical protein; ATPase associated with various cellular activities, AAA_5
	[1717965:1718324:dir] hypothetical protein
	[1718525:1718788:rev] hypothetical protein
	[1718820:1719818:rev] KEGG: pai:PAE1511 hypothetical protein; hypothetical protein
	[1719853:1720878:rev] KEGG: pai:PAE1862 conserved within P.aerophilum; hypothetical protein
	[1720875:1721939:rev] KEGG: pai:PAE1862 conserved within P.aerophilum; conserved hypothetical protein
	[1722086:1723966:dir] hypothetical protein
	[1724194:1725688:dir] 16S ribosomal RNA
	[1725729:1727669:dir] 23S ribosomal RNA
	[1727698:1728180:dir] KEGG: mka:MK1673 archaeal/vacuolar-type H+-ATPase subunit B, contains an intein; hypothetical protein
	[1728177:1728443:rev] 
	[1728468:1729175:dir] hypothetical protein
	[1729448:1729675:dir] KEGG: sto:STS132 hypothetical protein; hypothetical protein
	[1730162:1731154:dir] KEGG: pai:PAE2409 hypothetical protein; hypothetical protein
	[1731192:1732991:dir] hypothetical protein
<END>
<GI> CP000561:9 <COORDINATES> 1936786-1957397 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.032578; n0_4mer:D = 30.491042; n0_4mer:PS = 51.784627
	[1936786:1940169:dir] PFAM: RNA polymerase Rpb2, domain 6; RNA polymerase Rpb2, domain 7; RNA polymerase Rpb2, domain 2; RNA polymerase beta subunit; RNA polymerase Rpb2, domain 3; RNA polymerase Rpb2, domain 4; RNA polymerase Rpb2, domain 5; KEGG: pai:PAE0665 DNA-directed RNA polymerase subunit B (rpoB); DNA-directed RNA polymerase, subunit B' / DNA-directed RNA polymerase, subunit B'
	[1940407:1943061:dir] KEGG: pai:PAE0666 DNA-directed RNA polymerase subunit A'; TIGRFAM: DNA-directed RNA polymerase subunit A'; PFAM: RNA polymerase, alpha subunit; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 4; SMART: RNA polymerase I subunit A domain protein; DNA-directed RNA polymerase, subunit A'
	[1943049:1944197:dir] KEGG: pai:PAE0667 DNA-directed RNA polymerase subunit A''; TIGRFAM: DNA-directed RNA polymerase, subunit A''; PFAM: RNA polymerase Rpb1, domain 5; DNA-directed RNA polymerase, subunit A'
	[1944231:1944536:dir] PFAM: ribosomal protein L7Ae/L30e/S12e/Gadd45; KEGG: pai:PAE0668 ribosomal protein L30; LSU ribosomal protein L30E
	[1944529:1944963:dir] KEGG: pai:PAE0669 transcription termination factor NusA, putative; TIGRFAM: NusA family KH domain protein; PFAM: KH, type 2 domain protein; KH, type 1, domain protein; SMART: KH domain protein; NusA family KH domain protein
	[1944993:1945436:dir] TIGRFAM: ribosomal protein S23 (S12); PFAM: ribosomal protein S12/S23; KEGG: pai:PAE0670 ribosomal protein S12; SSU ribosomal protein S12P
	[1945437:1946213:dir] PFAM: RNA polymerase, dimerisation; RNA polymerase, insert; SMART: RNA polymerase, RpoA/D/Rpb3-type; KEGG: pai:PAE0671 DNA-directed RNA polymerase subunit D; DNA-directed RNA polymerase, subunit D
	[1946239:1946607:dir] PFAM: ribosomal protein L15; KEGG: pai:PAE0672 ribosomal protein L18; LSU ribosomal protein L18AE
	[1946604:1947164:dir] TIGRFAM: ribosomal protein L13; KEGG: pai:PAE0673 ribosomal protein L13; LSU ribosomal protein L13P
	[1947181:1947609:dir] PFAM: ribosomal protein S9; KEGG: pai:PAE0674 ribosomal protein S9; SSU ribosomal protein S9P
	[1947606:1947806:dir] PFAM: RNA polymerases N/8 Kd subunits; KEGG: pai:PAE0675a DNA-directed RNA polymerase subunit N; DNA-directed RNA polymerase, subunit N
	[1947838:1948098:dir] PFAM: Like-Sm ribonucleoprotein, core; SMART: Like-Sm ribonucleoprotein, eukaryotic and archaea-type, core; KEGG: pai:PAE0676 small nuclear ribonucleoprotein homolog (Sm-like); Small nuclear ribonucleoprotein, LSM family
	[1948095:1949303:dir] PFAM: S-adenosylmethionine synthetase (MAT); KEGG: pai:PAE0677 S-adenosylmethionine synthetase; methionine adenosyltransferase
	[1949295:1951046:rev] PFAM: Protein of unknown function DUF460; KEGG: pai:PAE0678 hypothetical protein; Protein of unknown function DUF460
	[1951050:1951958:rev] PFAM: protein of unknown function RIO1; protein kinase; KEGG: pai:PAE0680 RIO-like serine/threonine protein kinase; protein of unknown function RIO1
	[1951987:1952541:dir] KEGG: pai:PAE0681 conserved hypothetical protein; conserved hypothetical protein
	[1952635:1953306:dir] TIGRFAM: cytidyltransferase-related domain; PFAM: cytidylyltransferase; Protein of unknown function DUF357; KEGG: pai:PAE0683 cytidyltransferase; FMN adenylyltransferase
	[1953299:1953952:dir] PFAM: Endonuclease V; KEGG: pai:PAE0684 DNA endonuclease V, conjectural; Endonuclease V
	[1953938:1954324:rev] PFAM: UspA domain protein; KEGG: pai:PAE0685 conserved protein (probable universal stress protein homolog); UspA domain protein
	[1954352:1955158:rev] PFAM: binding-protein-dependent transport systems inner membrane component; KEGG: pai:PAE0686 multiple sugar transport permease protein; TC 3.A.1.1.-; carbohydrate ABC transporter membrane protein 2, CUT1 family
	[1955155:1955979:rev] PFAM: binding-protein-dependent transport systems inner membrane component; KEGG: pai:PAE0688 multiple sugar transport permease protein; TC 3.A.1.1.-; carbohydrate ABC transporter membrane protein 1, CUT1 family
	[1955976:1957397:rev] PFAM: extracellular solute-binding protein, family 1; KEGG: pai:PAE0689 multiple sugar binding protein; TC 3.A.1.1.-; carbohydrate ABC transporter substrate-binding protein, CUT1 family
<END>
