<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:1 <COORDINATES> 1-18065 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.861269; n0_4mer:D = 29.819852; n0_4mer:PS = 36.391109
	[9:743:dir] PFAM: 6-carboxyhexanoate--CoA ligase; KEGG: mmp:MMP1575 6-carboxyhexanoate--CoA ligase; 6-carboxyhexanoate-CoA ligase
	[624461:625363:dir] PFAM: NADH ubiquinone oxidoreductase, 20 kDa subunit; KEGG: mmp:MMP0822 coenzyme F420-non-reducing hydrogenase subunit gamma; F420-non-reducing hydrogenase subunit G
	[625384:626799:dir] PFAM: nickel-dependent hydrogenase, large subunit; KEGG: mmp:MMP0823 coenzyme F420-non-reducing hydrogenase subunit alpha; F420-non-reducing hydrogenase subunit A
	[626808:628001:dir] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; KEGG: mmp:MMP0824 coenzyme F420-non-reducing hydrogenase subunit beta; 4Fe-4S ferredoxin, iron-sulfur binding domain protein
	[628091:630055:dir] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; KEGG: mmp:MMP0825 heterodisulfide reductase subunit A; CoB--CoM heterodisulfide reductase subunit A
	[630102:631406:dir] 
	[631416:632045:rev] KEGG: mmp:MMP0851 hypothetical protein; conserved hypothetical protein
	[632098:632580:rev] KEGG: mmp:MMP0852 hypothetical protein; conserved hypothetical protein
	[632911:633738:dir] KEGG: mmp:MMP0853 nitrogenase iron protein (nitrogenase component II); TIGRFAM: nitrogenase iron protein; PFAM: NifH/frxC-family protein; Mo-nitrogenase iron protein subunit NifH
	[633780:634097:dir] PFAM: nitrogen regulatory protein P-II; KEGG: mmp:MMP0854 nitrogen regulatory protein NifI1; nitrogen regulatory protein P-II
	[634107:634472:dir] PFAM: nitrogen regulatory protein P-II; KEGG: mmp:MMP0855 nitrogen regulatory protein NifI2; nitrogen regulatory protein P-II
	[634526:635956:dir] KEGG: mmp:MMP0856 oxidoreductase, nitrogenase component 1; TIGRFAM: nitrogenase alpha chain; nitrogenase component I, alpha chain; PFAM: oxidoreductase/nitrogenase, component 1; nitrogenase alpha chain
	[635949:637337:dir] PFAM: oxidoreductase/nitrogenase, component 1; KEGG: mmp:MMP0857 oxidoreductase, nitrogenase component 1; Nitrogenase
	[637359:638795:dir] KEGG: mmp:MMP0858 nitrogenase iron-molybdenum cofactor biosynthesis protein; TIGRFAM: nitrogenase MoFe cofactor biosynthesis protein NifE; PFAM: oxidoreductase/nitrogenase, component 1; nitrogenase MoFe cofactor biosynthesis protein NifE
	[638813:640189:dir] PFAM: oxidoreductase/nitrogenase, component 1; KEGG: mmp:MMP0859 iron-molybdenum cofactor biosynthesis protein, subunit N; Nitrogenase
	[640155:640475:dir] PFAM: Dinitrogenase iron-molybdenum cofactor biosynthesis; KEGG: mmp:MMP0860 nitrogen fixation-related protein; Dinitrogenase iron-molybdenum cofactor biosynthesis
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:7 <COORDINATES> 1586929-1609044 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.716543; n0_4mer:D = 28.817108; n0_4mer:PS = 36.362225
	[1586929:1588002:rev] PFAM: regulatory protein, ArsR; KEGG: mmp:MMP0031 hypothetical protein; transcriptional regulator, ArsR family
	[1588018:1590048:rev] PFAM: magnesium chelatase, ChlI subunit; MCM family protein; KEGG: mmp:MMP0030 DNA replication protein; MCM family; putative; replicative DNA helicase Mcm
	[1590250:1590882:dir] KEGG: mmp:MMP0029 hypothetical protein; conserved hypothetical protein
	[1590936:1591262:dir] PFAM: TM2 domain containing protein+B7201; KEGG: mba:Mbar_A3451 hypothetical protein; TM2 domain containing protein+B7201
	[1591307:1592755:rev] PFAM: CobB/CobQ domain protein glutamine amidotransferase; KEGG: mmp:MMP0028 adenosyl-cobyric acid synthase; cobyrinate a,c-diamide synthase
	[1592827:1593834:dir] PFAM: TrkA-N domain protein; TrkA-C domain protein; Ion transport 2 domain protein,; KEGG: mmp:MMP0027 putative potassium channel protein; TrkA-N domain protein
	[1594066:1595530:dir] 16S ribosomal RNA
	[1595585:1595657:dir] tRNA-Ala2; tRNA-Ala
	[1595763:1598719:dir] 23S ribosomal RNA
	[1598785:1598898:dir] 5S ribosomal RNA
	[1599230:1599469:rev] hypothetical protein
	[1599609:1603004:dir] KEGG: mmp:MMP0026 DNA-directed DNA polymerase II large subunit; TIGRFAM: DNA polymerase II, large subunit DP2; PFAM: DNA polymerase II large subunit DP2; DNA polymerase II large subunit
	[1603073:1603345:dir] PFAM: protein of unknown function DUF74; KEGG: mmp:MMP0025 hypothetical protein; protein of unknown function DUF74
	[1603902:1604504:dir] KEGG: mmp:MMP0416 hypothetical protein; conserved hypothetical protein
	[1605508:1605660:rev] hypothetical protein
	[1605728:1606843:rev] PFAM: AAA ATPase, central domain protein; SMART: AAA ATPase; KEGG: mmp:MMP0024 putative AAA superfamily ATPase, similar to FtsH; AAA ATPase, central domain protein
	[1607008:1607832:dir] PFAM: protein of unknown function DUF114; KEGG: mmp:MMP0023 hypothetical protein; protein of unknown function DUF114
	[1607829:1608164:dir] PFAM: protein of unknown function DUF192; KEGG: mmp:MMP0022 hypothetical protein; protein of unknown function DUF192
	[1608169:1609044:rev] KEGG: mmp:MMP0021 hypothetical protein; conserved hypothetical protein
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:8 <COORDINATES> 1620989-1650483 <STAT> n1_4mer:GRV/n1_4mer:RV = 5.169355; n0_4mer:D = 44.355598; n0_4mer:PS = 42.706309
	[1620989:1621759:rev] TIGRFAM: geranylgeranylglyceryl phosphate synthase family protein; geranylgeranylglyceryl phosphate synthase; PFAM: PcrB family protein; KEGG: mmp:MMP0007 PcrB-like protein; geranylgeranylglyceryl diphosphate synthase
	[1622179:1623264:rev] PFAM: 3-dehydroquinate synthase; KEGG: mmp:MMP0006 3-dehydroquinate synthase; 3-dehydroquinate synthase II
	[1623392:1624948:dir] KEGG: mmp:MMP0005 hypothetical protein; conserved hypothetical protein
	[1625042:1625938:dir] PFAM: protein of unknown function RIO1; protein kinase; KEGG: mmp:MMP0004 kinase related protein; protein of unknown function RIO1
	[1625976:1627058:dir] PFAM: pyruvate flavodoxin/ferredoxin oxidoreductase domain protein; KEGG: mmp:MMP0003 2-oxoglutarate oxidoreductase alpha subunit; 2-oxoglutarate ferredoxin oxidoreductase, alpha subunit
	[1627093:1628157:rev] TIGRFAM: L-seryl-tRNA selenium transferase; KEGG: mmp:MMP0002 L-seryl-tRNA selenium transferase related protein; L-seryl-tRNA selenium transferase
	[1628189:1628467:rev] KEGG: mmp:MMP0001 hypothetical protein; conserved hypothetical protein
	[1628713:1630177:dir] 16S ribosomal RNA
	[1630330:1633286:dir] 23S ribosomal RNA
	[1633352:1633465:dir] 5S ribosomal RNA
	[1633756:1635220:dir] 16S ribosomal RNA
	[1635373:1638329:dir] 23S ribosomal RNA
	[1638395:1638508:dir] 5S ribosomal RNA
	[1638581:1639399:rev] TIGRFAM: imidazoleglycerol phosphate synthase, cyclase subunit; PFAM: histidine biosynthesis; KEGG: mmp:MMP1722 imidazoleglycerol-phosphate synthase, cyclase subunit; imidazole glycerol phosphate synthase subunit hisF
	[1639431:1640225:rev] KEGG: mmp:MMP1721 hypothetical protein; conserved hypothetical protein
	[1640237:1642027:rev] KEGG: mmp:MMP1720 hypothetical protein; conserved hypothetical protein
	[1642203:1644851:dir] KEGG: mmp:MMP1719 hypothetical protein; conserved hypothetical protein
	[1645023:1645340:dir] PFAM: Protein of unknown function DUF1495; KEGG: mmp:MMP1718 hypothetical protein; Protein of unknown function DUF1495
	[1645396:1646427:dir] PFAM: putative methyltransferase; Methyltransferase type 11; Methyltransferase type 12; KEGG: mmp:MMP1717 possible methyltransferase related protein; Methyltransferase type 12
	[1646478:1647503:dir] TIGRFAM: coenzyme F420-dependent N(5),N(10)-methenyltetrahydromethanopterin reductase-related protein; PFAM: H2-forming N5,N10-methylenetetrahydromethanopterin dehydrogenase; KEGG: mmp:MMP1716 H(2)-forming methylenetetrahydromethanopterin dehydrogenase related protein; H2-forming methylenetetrahydromethanopterin dehydrogenase
	[1647514:1647987:dir] TIGRFAM: small GTP-binding protein; PFAM: GTP-binding protein, HSR1-related; Miro domain protein; KEGG: mmp:MMP1715 putative GTPase; small GTP-binding protein
	[1648001:1648345:dir] PFAM: Roadblock/LC7 family protein; KEGG: mmp:MMP1714 hypothetical protein; Roadblock/LC7 family protein
	[1648515:1649465:rev] KEGG: mmp:MMP1713 hypothetical protein; conserved hypothetical protein
	[1649593:1650483:dir] PFAM: regulatory protein, LysR; LysR, substrate-binding; KEGG: mmp:MMP1712 transcriptional regulator, LysR family member; transcriptional regulator, LysR family
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:9 <COORDINATES> 1654131-1678885 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.216406; n0_4mer:D = 25.179787; n0_4mer:PS = 30.216835
	[1654131:1654586:dir] KEGG: mmp:MMP1704 hypothetical protein; conserved hypothetical protein
	[1654583:1655479:rev] KEGG: mmp:MMP1703 hypothetical protein; conserved hypothetical protein
	[1655684:1656697:rev] PFAM: homoserine dehydrogenase; homoserine dehydrogenase, NAD-binding; KEGG: mmp:MMP1702 homoserine dehydrogenase; homoserine dehydrogenase
	[1656709:1657239:rev] PFAM: amino acid-binding ACT domain protein; KEGG: mmp:MMP1701 amino acid-binding ACT; amino acid-binding ACT domain protein
	[1657350:1658951:rev] TIGRFAM: SSS sodium solute transporter superfamily; PFAM: Na+/solute symporter; KEGG: mmp:MMP1700 Na+/solute symporter; SSS sodium solute transporter superfamily
	[1658952:1659143:rev] KEGG: mmp:MMP1699 hypothetical protein; conserved hypothetical protein
	[1659473:1660009:rev] PFAM: protein of unknown function DUF46; KEGG: mmp:MMP1698 hypothetical protein; protein of unknown function DUF46
	[1660717:1662693:dir] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; KEGG: mmp:MMP1697 heterodisulfide reductase subunit A; 4Fe-4S ferredoxin, iron-sulfur binding domain protein
	[1662883:1663287:dir] PFAM: methyl-viologen-reducing hydrogenase, delta subunit; KEGG: mmp:MMP1696 F420-non-reducing hydrogenase subunit delta; F420-non-reducing hydrogenase subunit D
	[1663387:1664253:dir] PFAM: NADH ubiquinone oxidoreductase, 20 kDa subunit; KEGG: mmp:MMP1695 F420-non-reducing hydrogenase subunit; NADH ubiquinone oxidoreductase, 20 kDa subunit
	[1664295:1665551:dir] PFAM: nickel-dependent hydrogenase, large subunit; KEGG: mmp:MMP1694 F420-non-reducing hydrogenase subunit alpha; F420-non-reducing hydrogenase subunit A
	[1665566:1665700:dir] KEGG: mmp:MMP1693 F420 non-reducing hydrogenase subunit; F420 non-reducing hydrogenase subunit
	[1665790:1666977:dir] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; KEGG: mmp:MMP1692 polyferredoxin, associated with F420-non-reducing hydrogenase; 4Fe-4S ferredoxin, iron-sulfur binding domain protein
	[1666996:1668309:dir] KEGG: mmp:MMP1691 tungsten containing formylmethanofuran dehydrogenase subunit B; formylmethanofuran dehydrogenase, subunit B
	[1668525:1669193:dir] TIGRFAM: hisA/hisF family protein; PFAM: histidine biosynthesis; KEGG: mmp:MMP1690 similar to phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase; hisA/hisF family protein
	[1669195:1669752:dir] PFAM: thiamine pyrophosphate enzyme domain protein TPP-binding; KEGG: mmp:MMP1689 sulfopyruvate decarboxylase subunit beta; thiamine pyrophosphate enzyme domain protein TPP-binding protein
	[1669764:1670447:rev] KEGG: mmp:MMP1688 hypothetical protein; conserved hypothetical protein
	[1670458:1670664:rev] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; KEGG: mmp:MMP1687 2-oxoglutarate ferredoxin oxidoreductase, delta (ferredoxin) subunit; 2-oxoglutarate ferredoxin oxidoreductase, delta subunit
	[1670681:1671682:rev] KEGG: mmp:MMP1686 pseudouridine syntase related protein; TIGRFAM: putative rRNA pseudouridine synthase; PFAM: PUA domain containing protein; pseudouridylate synthase TruB domain protein; DKCLD domain protein; tRNA pseudouridine synthase B
	[1672316:1672534:dir] KEGG: mmp:MMP0528 hypothetical protein; conserved hypothetical protein
	[1672724:1672948:dir] KEGG: mmp:MMP1685 hypothetical protein; conserved hypothetical protein
	[1672967:1673599:dir] PFAM: metallophosphoesterase; KEGG: mmp:MMP1684 hypothetical protein; metallophosphoesterase
	[1673601:1674242:rev] KEGG: mmp:MMP1683 hypothetical protein; conserved hypothetical protein
	[1674376:1675779:dir] PFAM: phosphoesterase, RecJ domain protein; phosphoesterase, DHHA1; KEGG: mmp:MMP1682 single stranded DNA-specific exonuclease; exonuclease RecJ
	[1675813:1677099:dir] PFAM: phosphoadenosine phosphosulfate reductase; KEGG: mmp:MMP1681 hypothetical protein; phosphoadenosine phosphosulfate reductase
	[1677086:1678885:rev] TIGRFAM: glucosamine--fructose-6-phosphate aminotransferase, isomerizing; PFAM: glutamine amidotransferase, class-II; sugar isomerase (SIS); KEGG: mmp:MMP1680 glucosamine--fructose-6-phosphate aminotransferase; glucosamine--fructose-6-phosphate aminotransferase, isomerizing
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:10 <COORDINATES> 1773222-1801499 <STAT> n1_4mer:GRV/n1_4mer:RV = 4.723658; n0_4mer:D = 30.839181; n0_4mer:PS = 4.357152
	[1773222:1773716:rev] KEGG: mmp:MMP1582 pyruvoyl-dependent arginine decarboxylase, PvlArgDC, alpha and beta subunits; TIGRFAM: arginine decarboxylase, pyruvoyl-dependent; PFAM: Pyruvoyl-dependent arginine decarboxylase; arginine decarboxylase
	[1773898:1775799:rev] TIGRFAM: putative DNA helicase; KEGG: mmp:MMP1581 putative DNA helicase; putative DNA helicase
	[1775919:1777490:dir] TIGRFAM: dihydropteroate synthase-related protein; PFAM: dihydropteroate synthase, DHPS; KEGG: mmp:MMP1580 dihydropteroate synthase, DhpS:dihydropteroate synthase-related protein synthase-related protein; dihydropteroate synthase-related protein
	[1777559:1778014:rev] PFAM: ribosomal protein S15; Ribosomal S13S15-like; KEGG: mmp:MMP1579 probable SSU ribosomal protein S15P/S13E; SSU ribosomal protein S15P
	[1778143:1778658:rev] KEGG: mmp:MMP1578 cytidylyltransferase:cytidyltransferase-related domain; TIGRFAM: cytidyltransferase-related domain; nicotinamide-nucleotide adenylyltransferase; PFAM: cytidylyltransferase; nicotinamide-nucleotide adenylyltransferase
	[1778789:1780414:dir] KEGG: mmp:MMP1577 histone acetyltransferase; TIGRFAM: histone acetyltransferase, ELP3 family; PFAM: Radical SAM domain protein; SMART: Elongator protein 3/MiaB/NifB; histone acetyltransferase, ELP3 family
	[1780428:1780583:rev] KEGG: mmp:MMP1576 hypothetical protein; conserved hypothetical protein
<END>
